Category,Subcategory,Column,Full Name,Description
Pitching,Pitch Types,S20,2-0 Count Strikes,Strikes at 2-0
Pitching,Pitch Types,S%20,2-0 Strike Percentage,Strike % at 2-0
Pitching,Pitch Types,E20+,2-0 Positive Outcome,Positive outcome at 2-0
Pitching,Pitch Types,E20-,2-0 Negative Outcome,Negative outcome at 2-0
Pitching,Pitch Types,E20*,2-0 Neutral Outcome,Neutral outcome at 2-0
Pitching,Pitch Types,T21,Total 2-1 Counts,Number of 2-1 counts
Pitching,Pitch Types,S21,2-1 Count Strikes,Strikes at 2-1
Pitching,Pitch Types,S%21,2-1 Strike Percentage,Strike % at 2-1
Pitching,Pitch Types,E21+,2-1 Positive Outcome,Positive outcome at 2-1
Pitching,Pitch Types,E21-,2-1 Negative Outcome,Negative outcome at 2-1
Pitching,Pitch Types,E21*,2-1 Neutral Outcome,Neutral outcome at 2-1
Pitching,Pitch Types,T22,Total 2-2 Counts,Number of 2-2 counts
Pitching,Pitch Types,S22,2-2 Count Strikes,Strikes at 2-2
Pitching,Pitch Types,S%22,2-2 Strike Percentage,Strike % at 2-2
Pitching,Pitch Types,E22+,2-2 Positive Outcome,Positive outcome at 2-2
Pitching,Pitch Types,E22-,2-2 Negative Outcome,Negative outcome at 2-2
Pitching,Pitch Types,E22*,2-2 Neutral Outcome,Neutral outcome at 2-2
Pitching,Pitch Types,T30,Total 3-0 Counts,Number of 3-0 counts
Pitching,Pitch Types,S30,3-0 Count Strikes,Strikes at 3-0
Pitching,Pitch Types,S%30,3-0 Strike Percentage,Strike % at 3-0
Pitching,Pitch Types,E30+,3-0 Positive Outcome,Positive outcome at 3-0
Pitching,Pitch Types,E30-,3-0 Negative Outcome,Negative outcome at 3-0
Pitching,Pitch Types,E30*,3-0 Neutral Outcome,Neutral outcome at 3-0
Pitching,Pitch Types,T31,Total 3-1 Counts,Number of 3-1 counts
Pitching,Pitch Types,S31,3-1 Count Strikes,Strikes at 3-1
Pitching,Pitch Types,S%31,3-1 Strike Percentage,Strike % at 3-1
Pitching,Pitch Types,E31+,3-1 Positive Outcome,Positive outcome at 3-1
Pitching,Pitch Types,E31-,3-1 Negative Outcome,Negative outcome at 3-1
Pitching,Pitch Types,E31*,3-1 Neutral Outcome,Neutral outcome at 3-1
Pitching,Pitch Types,T32,Total 3-2 Counts,Number of 3-2 counts
Pitching,Pitch Types,S32,3-2 Count Strikes,Strikes at 3-2
Pitching,Pitch Types,S%32,3-2 Strike Percentage,Strike % at 3-2
Pitching,Pitch Types,E32+,3-2 Positive Outcome,Positive outcome at 3-2
Pitching,Pitch Types,E32-,3-2 Negative Outcome,Negative outcome at 3-2
Pitching,Pitch Types,E32*,3-2 Neutral Outcome,Neutral outcome at 3-2
Fielding,Basic,#,Player Number,Player's jersey number
Fielding,Basic,Name,Player Name,Player's full name
Fielding,Basic,G,Games,Fielding games played
Fielding,Basic,ST,Games Started,Games started in field
Fielding,Basic,Et,Throwing Errors,Errors on throws
Fielding,Basic,Ef,Fielding Errors,Errors on fielding plays
Fielding,Basic,ERR,Total Errors,Total errors (Et+Ef)
Fielding,Basic,PO,Putouts,Total putouts
Fielding,Basic,A,Assists,Total assists
Fielding,Basic,SBA,Stolen Bases Allowed,Stolen bases allowed
Fielding,Basic,CS,Caught Stealing,Runners caught stealing
Fielding,Basic,DP,Double Plays,Double plays turned
Fielding,Basic,TP,Triple Plays,Triple plays turned
Fielding,Basic,PB,Passed Balls,Passed balls (catcher)
Fielding,Basic,PKF,Pickoff Failed,Failed pickoff attempts
Fielding,Basic,PK,Pickoff Succeeded,Successful pickoffs
Fielding,Basic,OP,Outs Played,Total outs in field
Fielding,Basic,FP,Fielding Percentage,(PO+A)/(PO+A+E)
Fielding,Basic,FP1,Fielding % at Pitcher,Fielding percentage at pitcher
Fielding,Basic,FP2,Fielding % at Catcher,Fielding percentage at catcher
Fielding,Basic,FP3,Fielding % at First,Fielding percentage at first base
Fielding,Basic,FP4,Fielding % at Second,Fielding percentage at second base
Fielding,Basic,FP5,Fielding % at Third,Fielding percentage at third base
Fielding,Basic,FP6,Fielding % at Shortstop,Fielding percentage at shortstop
Fielding,Basic,FP7,Fielding % at Left Field,Fielding percentage in left field
Fielding,Basic,FP8,Fielding % at Center Field,Fielding percentage in center field
Fielding,Basic,FP9,Fielding % at Right Field,Fielding percentage in right field
Fielding,Basic,FP10,Fielding % at Other,Fielding percentage at other positions
Fielding,Basic,IP,Innings Played,Total innings in field
Fielding,Basic,AP,Innings Appeared,Innings appeared in field
Fielding,Infield,#,Player Number,Player's jersey number
Fielding,Infield,Name,Player Name,Player's full name
Fielding,Infield,PO1,Putouts at Pitcher,Putouts at pitcher position
Fielding,Infield,A1,Assists at Pitcher,Assists at pitcher position
Fielding,Infield,Et1,Throwing Errors at Pitcher,Throwing errors at pitcher
Fielding,Infield,Ef1,Fielding Errors at Pitcher,Fielding errors at pitcher
Fielding,Infield,AP1,Innings Appeared at Pitcher,Innings at pitcher
Fielding,Infield,OP1,Outs Played at Pitcher,Outs at pitcher
Fielding,Infield,PO2,Putouts at Catcher,Putouts at catcher position
Fielding,Infield,A2,Assists at Catcher,Assists at catcher position
Fielding,Infield,Et2,Throwing Errors at Catcher,Throwing errors at catcher
Fielding,Infield,Ef2,Fielding Errors at Catcher,Fielding errors at catcher
Fielding,Infield,AP2,Innings Appeared at Catcher,Innings at catcher
Fielding,Infield,OP2,Outs Played at Catcher,Outs at catcher
Fielding,Infield,PO3,Putouts at First,Putouts at first base
Fielding,Infield,A3,Assists at First,Assists at first base
Fielding,Infield,Et3,Throwing Errors at First,Throwing errors at first
Fielding,Infield,Ef3,Fielding Errors at First,Fielding errors at first
Fielding,Infield,AP3,Innings Appeared at First,Innings at first base
Fielding,Infield,OP3,Outs Played at First,Outs at first base
Fielding,Infield,PO4,Putouts at Second,Putouts at second base
Fielding,Infield,A4,Assists at Second,Assists at second base
Fielding,Infield,Et4,Throwing Errors at Second,Throwing errors at second
Fielding,Infield,Ef4,Fielding Errors at Second,Fielding errors at second
Fielding,Infield,AP4,Innings Appeared at Second,Innings at second base
Fielding,Infield,OP4,Outs Played at Second,Outs at second base
Fielding,Infield,PO5,Putouts at Third,Putouts at third base
Fielding,Infield,A5,Assists at Third,Assists at third base
Fielding,Infield,Et5,Throwing Errors at Third,Throwing errors at third
Fielding,Infield,Ef5,Fielding Errors at Third,Fielding errors at third
Fielding,Infield,AP5,Innings Appeared at Third,Innings at third base
Fielding,Infield,OP5,Outs Played at Third,Outs at third base
Fielding,Infield,PO6,Putouts at Shortstop,Putouts at shortstop
Fielding,Infield,A6,Assists at Shortstop,Assists at shortstop
Fielding,Infield,Et6,Throwing Errors at Shortstop,Throwing errors at shortstop
Fielding,Infield,Ef6,Fielding Errors at Shortstop,Fielding errors at shortstop
Fielding,Infield,AP6,Innings Appeared at Shortstop,Innings at shortstop
Fielding,Infield,OP6,Outs Played at Shortstop,Outs at shortstop
Fielding,Outfield,#,Player Number,Player's jersey number
Fielding,Outfield,Name,Player Name,Player's full name
Fielding,Outfield,PO7,Putouts at Left Field,Putouts in left field
Fielding,Outfield,A7,Assists at Left Field,Assists in left field
Fielding,Outfield,Et7,Throwing Errors at Left Field,Throwing errors in left field
Fielding,Outfield,Ef7,Fielding Errors at Left Field,Fielding errors in left field
Fielding,Outfield,AP7,Innings Appeared at Left Field,Innings in left field
Fielding,Outfield,OP7,Outs Played at Left Field,Outs in left field
Fielding,Outfield,PO8,Putouts at Center Field,Putouts in center field
Fielding,Outfield,A8,Assists at Center Field,Assists in center field
Fielding,Outfield,Et8,Throwing Errors at Center Field,Throwing errors in center field
Fielding,Outfield,Ef8,Fielding Errors at Center Field,Fielding errors in center field
Fielding,Outfield,AP8,Innings Appeared at Center Field,Innings in center field
Fielding,Outfield,OP8,Outs Played at Center Field,Outs in center field
Fielding,Outfield,PO9,Putouts at Right Field,Putouts in right field
Fielding,Outfield,A9,Assists at Right Field,Assists in right field
Fielding,Outfield,Et9,Throwing Errors at Right Field,Throwing errors in right field
Fielding,Outfield,Ef9,Fielding Errors at Right Field,Fielding errors in right field
Fielding,Outfield,AP9,Innings Appeared at Right Field,Innings in right field
Fielding,Outfield,OP9,Outs Played at Right Field,Outs in right field
Fielding,Outfield,PO10,Putouts at Other Field,Putouts at other positions
Fielding,Outfield,A10,Assists at Other Field,Assists at other positions
Fielding,Outfield,Et10,Throwing Errors at Other Field,Throwing errors at other positions
Fielding,Outfield,Ef10,Fielding Errors at Other Field,Fielding errors at other positions
Fielding,Outfield,AP10,Innings Appeared at Other Field,Innings at other positions
Fielding,Outfield,OP10,Outs Played at Other Field,Outs at other positions
